,AF,I-AVB,LBBB,Normal,RBBB,PAC,PVC,STD,STE
auroc_val,0.969,0.939,0.909,0.863,0.697,0.804,0.931,0.894,0.856
auroc_test,0.970,0.927,0.899,0.886,0.755,0.767,0.941,0.872,0.772
auprc_val,0.869,0.689,0.508,0.510,0.415,0.419,0.687,0.664,0.337
auprc_test,0.880,0.668,0.620,0.585,0.526,0.248,0.750,0.610,0.201
