,AF,I-AVB,LBBB,Normal,RBBB,PAC,PVC,STD,STE
auroc_val,0.949,0.783,0.913,0.837,0.786,0.786,0.932,0.845,0.773
auroc_test,0.952,0.822,0.900,0.814,0.783,0.765,0.933,0.836,0.756
auprc_val,0.790,0.285,0.528,0.450,0.678,0.356,0.716,0.549,0.144
auprc_test,0.777,0.324,0.695,0.397,0.652,0.222,0.762,0.480,0.176
