,AF,I-AVB,LBBB,Normal,RBBB,PAC,PVC,STD,STE
auroc_val,0.957,0.866,0.984,0.898,0.967,0.783,0.939,0.855,0.799
auroc_test,0.960,0.848,0.979,0.927,0.982,0.809,0.928,0.859,0.743
auprc_val,0.877,0.440,0.874,0.519,0.915,0.455,0.683,0.518,0.170
auprc_test,0.835,0.508,0.886,0.682,0.952,0.345,0.736,0.544,0.099
