,AF,I-AVB,LBBB,Normal,RBBB,PAC,PVC,STD,STE
auroc_val,0.972,0.981,0.999,0.958,0.979,0.874,0.979,0.939,0.947
auroc_test,0.977,0.981,0.991,0.968,0.977,0.838,0.960,0.948,0.850
auprc_val,0.911,0.897,0.969,0.788,0.942,0.590,0.852,0.746,0.498
auprc_test,0.909,0.892,0.919,0.867,0.948,0.394,0.837,0.779,0.340
