,AF,I-AVB,LBBB,Normal,RBBB,PAC,PVC,STD,STE
auroc_val,0.938,0.764,0.916,0.874,0.871,0.786,0.915,0.874,0.942
auroc_test,0.963,0.772,0.923,0.901,0.829,0.785,0.887,0.857,0.852
auprc_val,0.817,0.261,0.690,0.470,0.776,0.340,0.624,0.473,0.463
auprc_test,0.811,0.260,0.807,0.618,0.728,0.275,0.614,0.572,0.266
