,AF,I-AVB,LBBB,Normal,RBBB,PAC,PVC,STD,STE
auroc_val,0.947,0.826,0.976,0.912,0.915,0.866,0.962,0.904,0.896
auroc_test,0.961,0.770,0.984,0.921,0.877,0.842,0.920,0.893,0.861
auprc_val,0.822,0.376,0.803,0.635,0.844,0.414,0.710,0.668,0.461
auprc_test,0.831,0.227,0.878,0.659,0.814,0.293,0.762,0.627,0.213
