,AF,I-AVB,LBBB,Normal,RBBB,PAC,PVC,STD,STE
auroc_val,0.922,0.786,0.980,0.909,0.911,0.849,0.914,0.851,0.888
auroc_test,0.956,0.763,0.969,0.925,0.915,0.819,0.926,0.860,0.826
auprc_val,0.755,0.281,0.904,0.531,0.860,0.460,0.641,0.502,0.311
auprc_test,0.805,0.239,0.897,0.665,0.840,0.257,0.692,0.467,0.197
