,AF,I-AVB,LBBB,Normal,RBBB,PAC,PVC,STD,STE
auroc_val,0.969,0.969,0.953,0.916,0.835,0.792,0.932,0.909,0.848
auroc_test,0.969,0.950,0.920,0.932,0.881,0.819,0.919,0.919,0.800
auprc_val,0.870,0.849,0.633,0.644,0.707,0.379,0.721,0.691,0.390
auprc_test,0.883,0.766,0.725,0.757,0.793,0.299,0.744,0.731,0.150
