,AF,I-AVB,LBBB,Normal,RBBB,PAC,PVC,STD,STE
auroc_val,0.920,0.861,0.926,0.884,0.865,0.793,0.922,0.844,0.792
auroc_test,0.942,0.878,0.869,0.896,0.864,0.711,0.919,0.827,0.741
auprc_val,0.748,0.478,0.720,0.498,0.781,0.371,0.686,0.440,0.216
auprc_test,0.734,0.517,0.742,0.607,0.786,0.250,0.703,0.467,0.218
