,AF,I-AVB,LBBB,Normal,RBBB,PAC,PVC,STD,STE
auroc_val,0.967,0.967,0.993,0.938,0.934,0.867,0.964,0.918,0.868
auroc_test,0.971,0.965,0.993,0.963,0.932,0.875,0.943,0.914,0.802
auprc_val,0.868,0.848,0.893,0.704,0.869,0.501,0.711,0.706,0.520
auprc_test,0.894,0.835,0.845,0.813,0.887,0.397,0.833,0.754,0.284
