,AF,I-AVB,LBBB,Normal,RBBB,PAC,PVC,STD,STE
auroc_val,0.895,0.810,0.975,0.895,0.916,0.747,0.951,0.866,0.838
auroc_test,0.916,0.748,0.947,0.911,0.902,0.757,0.928,0.862,0.806
auprc_val,0.703,0.331,0.820,0.590,0.834,0.290,0.682,0.568,0.371
auprc_test,0.713,0.235,0.899,0.623,0.818,0.263,0.708,0.571,0.134
