,AF,I-AVB,LBBB,Normal,RBBB,PAC,PVC,STD,STE
auroc_val,0.940,0.806,0.795,0.884,0.868,0.815,0.922,0.878,0.943
auroc_test,0.957,0.786,0.916,0.919,0.836,0.816,0.901,0.861,0.878
auprc_val,0.803,0.385,0.511,0.524,0.751,0.302,0.639,0.611,0.562
auprc_test,0.808,0.254,0.598,0.673,0.750,0.281,0.655,0.566,0.245
